Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Tottenham_21_22,Manchester Utd_21_22,West Ham_21_22,Wolves_21_22,Leicester City_21_22,Aston Villa_21_22,Southampton_21_22,Crystal Palace_21_22,Brighton_21_22,Newcastle Utd_21_22,Brentford_21_22,Everton_21_22,Leeds United_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Chelsea_16_17,9.486832980505138,14.352700094407323,10.392304845413264,23.452078799117146,29.359836511806396,31.12876483254676,30.675723300355934,40.50925820105819,44.22668877499196,41.677331968349414,47.07440918375928,44.553338819890925,50.53711507397311,53.87021440462252,56.4003546088143,59.67411499134277,69.74955196988724,63.51377803280167,67.91906948714772,77.89736837660179
Tottenham_16_17,16.673332000533065,19.339079605813716,2.8284271247461903,15.684387141358123,20.92844953645635,23.08679276123039,21.748563170931547,31.448370387032774,36.11094017053558,32.38826948140329,38.2099463490856,34.942810419312295,41.060930335295616,45.18849411078001,47.16990566028302,50.6458290484024,61.814237842102365,53.79591062525106,58.93216439263028,69.33974329343886
Manchester City_16_17,22.0,23.280893453645632,11.575836902790225,10.488088481701515,14.352700094407323,15.652475842498529,15.264337522473747,30.347981810987037,28.460498941515414,26.28687885618983,31.843366656181317,29.410882339705484,37.094473981982816,38.52272056851645,41.24318125460256,44.28317965096906,54.194095619356915,49.193495504995376,52.43090691567332,62.68971207462992
Liverpool_16_17,23.430749027719962,22.693611435820433,16.76305461424021,16.522711641858304,17.46424919657298,17.26267650163207,17.204650534085253,36.22154055254967,27.51363298439521,27.16615541441225,33.0,30.56141357987225,40.50925820105819,39.102429592034305,42.23742416388575,44.67661580737735,53.16013544000805,51.234753829797995,52.40229002629561,63.0
Manchester Utd_16_17,30.93541659651604,33.74907406137241,16.64331697709324,8.306623862918075,13.152946437965905,16.431676725154983,14.966629547095765,17.204650534085253,28.861739379323623,23.366642891095847,27.80287754891569,25.179356624028344,27.874719729532707,34.77067730142742,36.11094017053558,40.049968789001575,52.44044240850758,41.38840417314975,48.394214530251446,58.008620049092706
Arsenal_16_17,27.349588662354687,26.570660511172846,18.81488772222678,15.165750888103101,14.352700094407323,13.74772708486752,13.45362404707371,33.66006535941367,23.280893453645632,22.869193252058544,28.879058156387302,26.248809496813376,36.76955262170047,34.92849839314596,37.960505792204614,40.36087214122113,49.08156476723211,47.031904065219386,48.05205510693585,58.8387627334226
Everton_16_17,32.69556544854363,33.71943060017473,19.1049731745428,7.681145747868608,5.916079783099616,8.246211251235321,5.477225575051661,20.639767440550294,20.12461179749811,15.427248620541512,21.37755832643195,18.0,25.553864678361276,28.372521918222215,30.23243291566195,33.67491648096547,45.34313619501854,37.429934544425805,41.95235392680606,52.54521862167861
West Brom_16_17,47.18050444834179,48.31148931672465,33.555923471125034,17.204650534085253,11.489125293076057,11.445523142259598,11.357816691600547,16.401219466856727,12.569805089976535,6.708203932499369,7.874007874011811,7.681145747868608,12.569805089976535,14.7648230602334,16.401219466856727,20.12461179749811,32.66496594212215,23.790754506740637,28.478061731796284,38.28837943815329
Stoke City_16_17,53.563046963368315,54.59853477887479,39.93745109543172,23.430749027719962,17.69180601295413,17.146428199482248,17.378147196982766,18.81488772222678,13.076696830622021,9.055385138137417,4.358898943540674,7.874007874011811,9.0,9.433981132056603,10.488088481701515,14.352700094407323,27.459060435491963,18.027756377319946,22.58317958127243,32.046840717924134
Southampton_16_17,52.66877632905477,53.665631459994955,38.600518131237564,23.366642891095847,17.832554500127006,17.804493814764857,17.05872210923198,16.583123951777,15.165750888103101,8.774964387392123,7.3484692283495345,6.4031242374328485,7.3484692283495345,12.409673645990857,11.789826122551595,16.09347693943108,30.347981810987037,17.4928556845359,24.186773244895647,34.20526275297414
