,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,34,26,7,1,85,77,20,57,2,2
1,Liverpool_19_20,34,30,2,2,92,75,26,49,1,1
2,Manchester City_17_18,34,29,3,2,90,98,25,73,1,1
3,Tottenham_16_17,34,23,8,3,77,71,22,49,2,2
4,Manchester Utd_16_17,34,17,14,3,65,51,25,26,5,6
5,Manchester City_18_19,34,28,2,4,86,87,22,65,1,1
6,Manchester City_20_21,34,25,5,4,80,71,24,47,1,1
7,Liverpool_17_18,34,20,10,4,70,78,35,43,3,4
8,Manchester Utd_20_21,34,20,10,4,70,67,36,31,2,2
9,Chelsea_16_17,34,26,3,5,81,72,29,43,1,1
