,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,35,27,7,1,88,79,20,59,2,2
1,Manchester City_17_18,35,30,3,2,93,102,26,76,1,1
2,Liverpool_19_20,35,30,3,2,93,76,27,49,1,1
3,Manchester City_18_19,35,29,2,4,89,89,22,67,1,1
4,Tottenham_16_17,35,23,8,4,77,71,23,48,2,2
5,Liverpool_17_18,35,20,11,4,71,80,37,43,3,4
6,Manchester Utd_16_17,35,17,14,4,65,51,27,24,6,6
7,Chelsea_16_17,35,27,3,5,84,75,29,46,1,1
8,Manchester City_20_21,35,25,5,5,80,72,26,46,1,1
9,Manchester Utd_20_21,35,20,10,5,70,68,38,30,2,2
