,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,33,25,7,1,82,75,20,55,2,2
1,Liverpool_19_20,33,29,2,2,89,72,25,47,1,1
2,Manchester City_17_18,33,28,3,2,87,93,25,68,1,1
3,Tottenham_16_17,33,22,8,3,74,69,22,47,2,2
4,Manchester Utd_16_17,33,17,13,3,64,50,24,26,5,6
5,Manchester City_18_19,33,27,2,4,83,86,22,64,1,1
6,Manchester City_20_21,33,24,5,4,77,69,24,45,1,1
7,Liverpool_17_18,33,19,10,4,67,75,35,40,3,4
8,Manchester Utd_20_21,33,19,10,4,67,64,35,29,2,2
9,Chelsea_16_17,33,25,3,5,78,69,29,40,1,1
