,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,36,28,7,1,91,84,20,64,2,2
1,Manchester City_17_18,36,30,4,2,94,102,26,76,1,1
2,Liverpool_19_20,36,30,3,3,93,77,29,48,1,1
3,Manchester City_18_19,36,30,2,4,92,90,22,68,1,1
4,Tottenham_16_17,36,24,8,4,80,73,24,49,2,2
5,Liverpool_17_18,36,20,12,4,72,80,37,43,3,4
6,Chelsea_16_17,36,28,3,5,87,76,29,47,1,1
7,Manchester City_20_21,36,26,5,5,83,76,29,47,1,1
8,Manchester Utd_16_17,36,17,14,5,65,52,29,23,6,6
9,Manchester City_16_17,36,21,9,6,72,72,38,34,3,3
