,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester Utd_16_17,1,1,0,0,3,3,1,2,1,6
1,Chelsea_16_17,1,1,0,0,3,2,1,1,2,1
2,Hull City_16_17,1,1,0,0,3,2,1,1,3,18
3,Liverpool_16_17,1,1,0,0,3,4,3,1,4,4
4,Manchester City_16_17,1,1,0,0,3,2,1,1,5,3
5,Swansea City_16_17,1,1,0,0,3,1,0,1,6,15
6,West Brom_16_17,1,1,0,0,3,1,0,1,7,10
7,Everton_16_17,1,0,1,0,1,1,1,0,8,7
8,Middlesbrough_16_17,1,0,1,0,1,1,1,0,9,19
9,Southampton_16_17,1,0,1,0,1,1,1,0,10,8
10,Stoke City_16_17,1,0,1,0,1,1,1,0,11,13
11,Tottenham_16_17,1,0,1,0,1,1,1,0,12,2
12,Watford_16_17,1,0,1,0,1,1,1,0,13,17
13,Arsenal_16_17,1,0,0,1,0,3,4,-1,14,5
14,Burnley_16_17,1,0,0,1,0,0,1,-1,15,16
15,Crystal Palace_16_17,1,0,0,1,0,0,1,-1,16,14
16,Leicester City_16_17,1,0,0,1,0,1,2,-1,17,12
17,Sunderland_16_17,1,0,0,1,0,1,2,-1,18,20
18,West Ham_16_17,1,0,0,1,0,1,2,-1,19,11
19,Bournemouth_16_17,1,0,0,1,0,1,3,-2,20,9
20,Manchester Utd_17_18,1,1,0,0,3,4,0,4,1,2
21,Huddersfield_17_18,1,1,0,0,3,3,0,3,2,16
22,Manchester City_17_18,1,1,0,0,3,2,0,2,3,1
23,Tottenham_17_18,1,1,0,0,3,2,0,2,4,3
24,Arsenal_17_18,1,1,0,0,3,4,3,1,5,6
25,Burnley_17_18,1,1,0,0,3,3,2,1,6,7
26,Everton_17_18,1,1,0,0,3,1,0,1,7,8
27,West Brom_17_18,1,1,0,0,3,1,0,1,8,20
28,Liverpool_17_18,1,0,1,0,1,3,3,0,9,4
29,Southampton_17_18,1,0,1,0,1,0,0,0,10,17
30,Swansea City_17_18,1,0,1,0,1,0,0,0,11,18
31,Watford_17_18,1,0,1,0,1,3,3,0,12,14
32,Bournemouth_17_18,1,0,0,1,0,0,1,-1,13,12
33,Chelsea_17_18,1,0,0,1,0,2,3,-1,14,5
34,Leicester City_17_18,1,0,0,1,0,3,4,-1,15,9
35,Stoke City_17_18,1,0,0,1,0,0,1,-1,16,19
36,Brighton_17_18,1,0,0,1,0,0,2,-2,17,15
37,Newcastle Utd_17_18,1,0,0,1,0,0,2,-2,18,10
38,Crystal Palace_17_18,1,0,0,1,0,0,3,-3,19,11
39,West Ham_17_18,1,0,0,1,0,0,4,-4,20,13
40,Liverpool_18_19,1,1,0,0,3,4,0,4,1,2
41,Chelsea_18_19,1,1,0,0,3,3,0,3,2,3
42,Bournemouth_18_19,1,1,0,0,3,2,0,2,3,14
43,Crystal Palace_18_19,1,1,0,0,3,2,0,2,4,12
44,Manchester City_18_19,1,1,0,0,3,2,0,2,5,1
45,Watford_18_19,1,1,0,0,3,2,0,2,6,11
46,Manchester Utd_18_19,1,1,0,0,3,2,1,1,7,6
47,Tottenham_18_19,1,1,0,0,3,2,1,1,8,4
48,Burnley_18_19,1,0,1,0,1,0,0,0,9,15
