,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_16_17,2,2,0,0,6,6,2,4,1,3
1,Manchester Utd_16_17,2,2,0,0,6,5,1,4,2,6
2,Hull City_16_17,2,2,0,0,6,4,1,3,3,18
3,Chelsea_16_17,2,2,0,0,6,4,2,2,4,1
4,Everton_16_17,2,1,1,0,4,3,2,1,5,7
5,Middlesbrough_16_17,2,1,1,0,4,3,2,1,6,19
6,Tottenham_16_17,2,1,1,0,4,2,1,1,7,2
7,Burnley_16_17,2,1,0,1,3,2,1,1,8,16
8,West Brom_16_17,2,1,0,1,3,2,2,0,9,10
9,West Ham_16_17,2,1,0,1,3,2,2,0,10,11
10,Liverpool_16_17,2,1,0,1,3,4,5,-1,11,4
11,Swansea City_16_17,2,1,0,1,3,1,2,-1,12,15
12,Arsenal_16_17,2,0,1,1,1,3,4,-1,13,5
13,Leicester City_16_17,2,0,1,1,1,1,2,-1,14,12
14,Watford_16_17,2,0,1,1,1,2,3,-1,15,17
15,Southampton_16_17,2,0,1,1,1,1,3,-2,16,8
16,Stoke City_16_17,2,0,1,1,1,2,5,-3,17,13
17,Crystal Palace_16_17,2,0,0,2,0,0,2,-2,18,14
18,Sunderland_16_17,2,0,0,2,0,2,4,-2,19,20
19,Bournemouth_16_17,2,0,0,2,0,1,4,-3,20,9
20,Manchester Utd_17_18,2,2,0,0,6,8,0,8,1,2
21,Huddersfield_17_18,2,2,0,0,6,4,0,4,2,16
22,West Brom_17_18,2,2,0,0,6,2,0,2,3,20
23,Manchester City_17_18,2,1,1,0,4,3,1,2,4,1
24,Watford_17_18,2,1,1,0,4,5,3,2,5,14
25,Everton_17_18,2,1,1,0,4,2,1,1,6,8
26,Liverpool_17_18,2,1,1,0,4,4,3,1,7,4
27,Southampton_17_18,2,1,1,0,4,3,2,1,8,17
28,Leicester City_17_18,2,1,0,1,3,5,4,1,9,9
29,Tottenham_17_18,2,1,0,1,3,3,2,1,10,3
30,Arsenal_17_18,2,1,0,1,3,4,4,0,11,6
31,Burnley_17_18,2,1,0,1,3,3,3,0,12,7
32,Chelsea_17_18,2,1,0,1,3,4,4,0,13,5
33,Stoke City_17_18,2,1,0,1,3,1,1,0,14,19
34,Swansea City_17_18,2,0,1,1,1,0,4,-4,15,18
35,Bournemouth_17_18,2,0,0,2,0,0,3,-3,16,12
36,Newcastle Utd_17_18,2,0,0,2,0,0,3,-3,17,10
37,Brighton_17_18,2,0,0,2,0,0,4,-4,18,15
38,Crystal Palace_17_18,2,0,0,2,0,0,4,-4,19,11
39,West Ham_17_18,2,0,0,2,0,2,7,-5,20,13
40,Manchester City_18_19,2,2,0,0,6,8,1,7,1,1
41,Liverpool_18_19,2,2,0,0,6,6,0,6,2,2
42,Chelsea_18_19,2,2,0,0,6,6,2,4,3,3
43,Watford_18_19,2,2,0,0,6,5,1,4,4,11
44,Bournemouth_18_19,2,2,0,0,6,4,1,3,5,14
45,Tottenham_18_19,2,2,0,0,6,5,2,3,6,4
46,Everton_18_19,2,1,1,0,4,4,3,1,7,8
47,Leicester City_18_19,2,1,0,1,3,3,2,1,8,9
48,Crystal Palace_18_19,2,1,0,1,3,2,2,0,9,12
49,Manchester Utd_18_19,2,1,0,1,3,4,4,0,10,6
50,Brighton_18_19,2,1,0,1,3,3,4,-1,11,17
51,Newcastle Utd_18_19,2,0,1,1,1,1,2,-1,12,13
52,Southampton_18_19,2,0,1,1,1,1,2,-1,13,16
53,Burnley_18_19,2,0,1,1,1,1,3,-2,14,15
54,Cardiff City_18_19,2,0,1,1,1,0,2,-2,15,18
55,Wolves_18_19,2,0,1,1,1,2,4,-2,16,7
56,Arsenal_18_19,2,0,0,2,0,2,5,-3,17,5
57,Fulham_18_19,2,0,0,2,0,1,5,-4,18,19
58,West Ham_18_19,2,0,0,2,0,1,6,-5,19,10
59,Huddersfield_18_19,2,0,0,2,0,1,9,-8,20,20
60,Liverpool_19_20,2,2,0,0,6,6,2,4,1,1
61,Arsenal_19_20,2,2,0,0,6,3,1,2,2,8
62,Manchester City_19_20,2,1,1,0,4,7,2,5,3,2
63,Manchester Utd_19_20,2,1,1,0,4,5,1,4,4,3
64,Brighton_19_20,2,1,1,0,4,4,1,3,5,15
65,Tottenham_19_20,2,1,1,0,4,5,3,2,6,6
66,Bournemouth_19_20,2,1,1,0,4,3,2,1,7,18
67,Everton_19_20,2,1,1,0,4,1,0,1,8,12
68,Sheffield Utd_19_20,2,1,1,0,4,2,1,1,9,9
69,Burnley_19_20,2,1,0,1,3,4,2,2,10,10
70,Norwich City_19_20,2,1,0,1,3,4,5,-1,11,20
71,Leicester City_19_20,2,0,2,0,2,1,1,0,12,5
72,Wolves_19_20,2,0,2,0,2,1,1,0,13,7
73,Crystal Palace_19_20,2,0,1,1,1,0,1,-1,14,14
74,Chelsea_19_20,2,0,1,1,1,1,5,-4,15,4
75,West Ham_19_20,2,0,1,1,1,1,6,-5,16,16
76,Aston Villa_19_20,2,0,0,2,0,2,5,-3,17,17
77,Newcastle Utd_19_20,2,0,0,2,0,1,4,-3,18,13
78,Southampton_19_20,2,0,0,2,0,1,5,-4,19,11
79,Watford_19_20,2,0,0,2,0,0,4,-4,20,19
80,Leicester City_20_21,2,2,0,0,6,7,2,5,1,5
81,Arsenal_20_21,2,2,0,0,6,5,1,4,2,8
82,Aston Villa_20_21,2,2,0,0,6,4,0,4,3,11
83,Everton_20_21,2,2,0,0,6,6,2,4,4,10
84,Crystal Palace_20_21,2,2,0,0,6,4,1,3,5,14
85,Liverpool_20_21,2,2,0,0,6,6,3,3,6,3
86,Tottenham_20_21,2,1,0,1,3,5,3,2,7,7
87,Brighton_20_21,2,1,0,1,3,4,3,1,8,16
88,Chelsea_20_21,2,1,0,1,3,3,3,0,9,4
89,Leeds United_20_21,2,1,0,1,3,7,7,0,10,9
90,Wolves_20_21,2,1,0,1,3,3,3,0,11,13
91,Manchester City_20_21,2,1,0,1,3,5,6,-1,12,1
92,Manchester Utd_20_21,2,1,0,1,3,4,5,-1,13,2
93,Newcastle Utd_20_21,2,1,0,1,3,2,3,-1,14,12
94,Burnley_20_21,2,0,0,2,0,2,5,-3,15,17
95,Sheffield Utd_20_21,2,0,0,2,0,0,3,-3,16,20
96,West Ham_20_21,2,0,0,2,0,1,4,-3,17,6
97,Fulham_20_21,2,0,0,2,0,3,7,-4,18,18
98,Southampton_20_21,2,0,0,2,0,2,6,-4,19,15
99,West Brom_20_21,2,0,0,2,0,2,8,-6,20,19
