,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Chelsea_16_17,25,19,3,3,60,52,18,34,1,1
1,Manchester City_16_17,25,16,4,5,52,51,29,22,2,3
2,Tottenham_16_17,25,14,8,3,50,46,18,28,3,2
3,Arsenal_16_17,25,15,5,5,50,54,28,26,4,5
4,Liverpool_16_17,25,14,7,4,49,54,30,24,5,4
5,Manchester Utd_16_17,25,13,9,3,48,38,21,17,6,6
6,Everton_16_17,25,11,8,6,41,40,27,13,7,7
7,West Brom_16_17,25,10,7,8,37,34,31,3,8,10
8,Stoke City_16_17,25,8,8,9,32,30,36,-6,9,13
9,West Ham_16_17,25,9,5,11,32,34,43,-9,10,11
10,Southampton_16_17,25,8,6,11,30,28,31,-3,11,8
11,Burnley_16_17,25,9,3,13,30,27,36,-9,12,16
12,Watford_16_17,25,8,6,11,30,29,42,-13,13,17
13,Bournemouth_16_17,25,7,5,13,26,35,49,-14,14,9
14,Swansea City_16_17,25,7,3,15,24,31,54,-23,15,15
15,Middlesbrough_16_17,25,4,10,11,22,19,27,-8,16,19
16,Leicester City_16_17,25,5,6,14,21,24,43,-19,17,12
17,Hull City_16_17,25,5,5,15,20,22,49,-27,18,18
18,Crystal Palace_16_17,25,5,4,16,19,32,46,-14,19,14
19,Sunderland_16_17,25,5,4,16,19,24,46,-22,20,20
20,Manchester City_17_18,25,22,2,1,68,73,18,55,1,1
21,Manchester Utd_17_18,25,16,5,4,53,49,18,31,2,2
22,Liverpool_17_18,25,14,8,3,50,57,29,28,3,4
23,Chelsea_17_18,25,15,5,5,50,45,19,26,4,5
24,Tottenham_17_18,25,14,6,5,48,49,22,27,5,3
25,Arsenal_17_18,25,12,6,7,42,46,34,12,6,6
26,Burnley_17_18,25,9,8,8,35,20,22,-2,7,7
27,Leicester City_17_18,25,9,7,9,34,37,34,3,8,9
28,Everton_17_18,25,8,7,10,31,28,40,-12,9,8
29,Bournemouth_17_18,25,7,7,11,28,28,36,-8,10,12
