,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Chelsea_16_17,26,20,3,3,63,55,19,36,1,1
1,Manchester City_16_17,26,17,4,5,55,53,29,24,2,3
2,Tottenham_16_17,26,15,8,3,53,50,18,32,3,2
3,Arsenal_16_17,26,15,5,6,50,55,31,24,4,5
4,Liverpool_16_17,26,14,7,5,49,55,33,22,5,4
5,Manchester Utd_16_17,26,13,10,3,49,39,22,17,6,6
6,Everton_16_17,26,12,8,6,44,42,27,15,7,7
7,West Brom_16_17,26,11,7,8,40,36,32,4,8,10
8,Southampton_16_17,26,9,6,11,33,32,34,-2,9,8
9,West Ham_16_17,26,9,6,11,33,35,44,-9,10,11
10,Stoke City_16_17,26,8,8,10,32,30,40,-10,11,13
11,Burnley_16_17,26,9,4,13,31,28,37,-9,12,16
12,Watford_16_17,26,8,7,11,31,30,43,-13,13,17
13,Bournemouth_16_17,26,7,5,14,26,36,51,-15,14,9
14,Leicester City_16_17,26,6,6,14,24,27,44,-17,15,12
15,Swansea City_16_17,26,7,3,16,24,32,57,-25,16,15
16,Middlesbrough_16_17,26,4,10,12,22,19,28,-9,17,19
17,Crystal Palace_16_17,26,6,4,16,22,33,46,-13,18,14
18,Hull City_16_17,26,5,6,15,21,23,50,-27,19,18
19,Sunderland_16_17,26,5,4,17,19,24,48,-24,20,20
20,Manchester City_17_18,26,22,3,1,69,74,19,55,1,1
21,Manchester Utd_17_18,26,17,5,4,56,51,18,33,2,2
22,Liverpool_17_18,26,14,9,3,51,59,31,28,3,4
23,Chelsea_17_18,26,15,5,6,50,46,23,23,4,5
24,Tottenham_17_18,26,14,7,5,49,51,24,27,5,3
25,Arsenal_17_18,26,13,6,7,45,51,35,16,6,6
26,Burnley_17_18,26,9,9,8,36,21,23,-2,7,7
27,Leicester City_17_18,26,9,8,9,35,38,35,3,8,9
28,Bournemouth_17_18,26,8,7,11,31,30,37,-7,9,12
29,Everton_17_18,26,8,7,11,31,29,45,-16,10,8
30,Watford_17_18,26,8,6,12,30,37,45,-8,11,14
31,Brighton_17_18,26,6,9,11,27,21,35,-14,12,15
32,West Ham_17_18,26,6,9,11,27,32,46,-14,13,13
33,Crystal Palace_17_18,26,6,9,11,27,24,39,-15,14,11
34,Southampton_17_18,26,5,11,10,26,28,38,-10,15,17
35,Newcastle Utd_17_18,26,6,7,13,25,24,36,-12,16,10
36,Swansea City_17_18,26,6,6,14,24,19,37,-18,17,18
37,Stoke City_17_18,26,6,6,14,24,26,52,-26,18,19
38,Huddersfield_17_18,26,6,6,14,24,19,46,-27,19,16
39,West Brom_17_18,26,3,11,12,20,21,37,-16,20,20
40,Liverpool_18_19,26,20,5,1,65,59,15,44,1,2
41,Manchester City_18_19,26,20,2,4,62,68,20,48,2,1
42,Tottenham_18_19,26,20,0,6,60,54,25,29,3,4
43,Manchester Utd_18_19,26,15,6,5,51,52,35,17,4,6
44,Arsenal_18_19,26,15,5,6,50,53,37,16,5,5
45,Chelsea_18_19,26,15,5,6,50,45,29,16,6,3
46,Wolves_18_19,26,11,6,9,39,34,33,1,7,7
47,Watford_18_19,26,10,7,9,37,34,34,0,8,11
48,Everton_18_19,26,9,6,11,33,36,38,-2,9,8
49,West Ham_18_19,26,9,6,11,33,32,39,-7,10,10
50,Bournemouth_18_19,26,10,3,13,33,37,47,-10,11,14
51,Leicester City_18_19,26,9,5,12,32,31,34,-3,12,9
52,Crystal Palace_18_19,26,7,6,13,27,27,34,-7,13,12
53,Brighton_18_19,26,7,6,13,27,28,39,-11,14,17
54,Burnley_18_19,26,7,6,13,27,29,47,-18,15,15
55,Newcastle Utd_18_19,26,6,7,13,25,22,34,-12,16,13
56,Cardiff City_18_19,26,7,4,15,25,24,47,-23,17,18
57,Southampton_18_19,26,5,9,12,24,28,44,-16,18,16
58,Fulham_18_19,26,4,5,17,17,25,58,-33,19,19
59,Huddersfield_18_19,26,2,5,19,11,14,48,-34,20,20
60,Liverpool_19_20,26,25,1,0,76,61,15,46,1,1
61,Manchester City_19_20,26,17,3,6,54,67,29,38,2,2
62,Leicester City_19_20,26,15,5,6,50,54,26,28,3,5
63,Chelsea_19_20,26,12,5,9,41,43,36,7,4,4
64,Tottenham_19_20,26,11,7,8,40,43,34,9,5,6
65,Sheffield Utd_19_20,26,10,9,7,39,28,24,4,6,9
66,Manchester Utd_19_20,26,10,8,8,38,38,29,9,7,3
67,Wolves_19_20,26,8,12,6,36,35,32,3,8,7
68,Everton_19_20,26,10,6,10,36,34,38,-4,9,12
69,Arsenal_19_20,26,7,13,6,34,36,34,2,10,8
70,Burnley_19_20,26,10,4,12,34,30,39,-9,11,10
71,Newcastle Utd_19_20,26,8,7,11,31,24,40,-16,12,13
72,Southampton_19_20,26,9,4,13,31,32,48,-16,13,11
73,Crystal Palace_19_20,26,7,9,10,30,23,32,-9,14,14
74,Brighton_19_20,26,6,9,11,27,31,38,-7,15,15
75,Bournemouth_19_20,26,7,5,14,26,26,40,-14,16,18
76,Aston Villa_19_20,26,7,4,15,25,34,50,-16,17,17
77,West Ham_19_20,26,6,6,14,24,30,45,-15,18,16
78,Watford_19_20,26,5,9,12,24,24,40,-16,19,19
79,Norwich City_19_20,26,4,6,16,18,24,48,-24,20,20
80,Manchester City_20_21,26,19,5,2,62,52,16,36,1,1
81,Manchester Utd_20_21,26,14,8,4,50,53,32,21,2,2
82,Leicester City_20_21,26,15,4,7,49,45,30,15,3,5
83,Everton_20_21,26,14,4,8,46,39,33,6,4,10
84,West Ham_20_21,26,13,6,7,45,40,31,9,5,6
85,Chelsea_20_21,26,12,8,6,44,41,25,16,6,4
86,Liverpool_20_21,26,12,7,7,43,47,34,13,7,3
87,Tottenham_20_21,26,12,6,8,42,42,27,15,8,7
88,Aston Villa_20_21,26,12,4,10,40,38,27,11,9,11
89,Arsenal_20_21,26,11,4,11,37,34,27,7,10,8
90,Leeds United_20_21,26,11,2,13,35,43,44,-1,11,9
91,Wolves_20_21,26,9,7,10,34,27,33,-6,12,13
92,Crystal Palace_20_21,26,9,6,11,33,29,43,-14,13,14
93,Southampton_20_21,26,8,6,12,30,31,44,-13,14,15
94,Burnley_20_21,26,7,7,12,28,18,34,-16,15,17
95,Brighton_20_21,26,5,11,10,26,26,33,-7,16,16
96,Newcastle Utd_20_21,26,7,5,14,26,27,44,-17,17,12
97,Fulham_20_21,26,4,11,11,23,21,32,-11,18,18
98,West Brom_20_21,26,3,8,15,17,20,55,-35,19,19
99,Sheffield Utd_20_21,26,3,2,21,11,15,43,-28,20,20
