,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Chelsea_16_17,23,18,2,3,56,48,16,32,1,1
1,Tottenham_16_17,23,13,8,2,47,45,16,29,2,2
2,Arsenal_16_17,23,14,5,4,47,51,25,26,3,5
3,Liverpool_16_17,23,13,7,3,46,52,28,24,4,4
4,Manchester City_16_17,23,14,4,5,46,47,28,19,5,3
5,Manchester Utd_16_17,23,11,9,3,42,33,21,12,6,6
6,Everton_16_17,23,10,7,6,37,34,24,10,7,7
7,West Brom_16_17,23,9,6,8,33,31,29,2,8,10
8,Stoke City_16_17,23,7,8,8,29,29,35,-6,9,13
9,Burnley_16_17,23,9,2,12,29,25,33,-8,10,16
10,West Ham_16_17,23,8,4,11,28,29,40,-11,11,11
11,Southampton_16_17,23,7,6,10,27,23,28,-5,12,8
12,Watford_16_17,23,7,6,10,27,27,39,-12,13,17
13,Bournemouth_16_17,23,7,5,11,26,32,41,-9,14,9
14,Middlesbrough_16_17,23,4,9,10,21,19,26,-7,15,19
15,Leicester City_16_17,23,5,6,12,21,24,38,-14,16,12
16,Swansea City_16_17,23,6,3,14,21,28,52,-24,17,15
17,Crystal Palace_16_17,23,5,4,14,19,32,41,-9,18,14
18,Hull City_16_17,23,4,5,14,17,20,47,-27,19,18
19,Sunderland_16_17,23,4,4,15,16,20,42,-22,20,20
20,Manchester City_17_18,23,20,2,1,62,67,17,50,1,1
21,Manchester Utd_17_18,23,15,5,3,50,48,16,32,2,2
22,Liverpool_17_18,23,13,8,2,47,54,28,26,3,4
23,Chelsea_17_18,23,14,5,4,47,41,16,25,4,5
24,Tottenham_17_18,23,13,5,5,44,46,21,25,5,3
25,Arsenal_17_18,23,11,6,6,39,41,30,11,6,6
26,Burnley_17_18,23,9,7,7,34,19,20,-1,7,7
27,Leicester City_17_18,23,8,7,8,31,34,32,2,8,9
28,Everton_17_18,23,7,6,10,27,25,38,-13,9,8
29,Watford_17_18,23,7,5,11,26,33,42,-9,10,14
30,Crystal Palace_17_18,23,6,7,10,25,21,33,-12,11,11
31,West Ham_17_18,23,6,7,10,25,29,41,-12,12,13
32,Bournemouth_17_18,23,6,6,11,24,24,35,-11,13,12
33,Huddersfield_17_18,23,6,6,11,24,19,39,-20,14,16
34,Newcastle Utd_17_18,23,6,5,12,23,21,31,-10,15,10
35,Brighton_17_18,23,5,8,10,23,17,29,-12,16,15
36,Southampton_17_18,23,4,9,10,21,23,34,-11,17,17
37,Stoke City_17_18,23,5,5,13,20,23,50,-27,18,19
38,West Brom_17_18,23,3,10,10,19,18,30,-12,19,20
39,Swansea City_17_18,23,4,5,14,17,14,35,-21,20,18
40,Liverpool_18_19,23,19,3,1,60,54,13,41,1,2
41,Manchester City_18_19,23,18,2,3,56,62,17,45,2,1
42,Tottenham_18_19,23,17,0,6,51,48,23,25,3,4
43,Chelsea_18_19,23,14,5,4,47,40,19,21,4,3
44,Arsenal_18_19,23,13,5,5,44,48,32,16,5,5
45,Manchester Utd_18_19,23,13,5,5,44,46,33,13,6,6
46,Watford_18_19,23,9,6,8,33,32,32,0,7,11
47,Wolves_18_19,23,9,5,9,32,27,31,-4,8,7
48,Leicester City_18_19,23,9,4,10,31,29,29,0,9,9
49,West Ham_18_19,23,9,4,10,31,30,34,-4,10,10
50,Everton_18_19,23,8,6,9,30,34,33,1,11,8
51,Bournemouth_18_19,23,9,3,11,30,33,42,-9,12,14
52,Brighton_18_19,23,7,5,11,26,25,32,-7,13,17
53,Crystal Palace_18_19,23,6,4,13,22,23,32,-9,14,12
54,Southampton_18_19,23,5,7,11,22,25,40,-15,15,16
55,Burnley_18_19,23,6,4,13,22,23,43,-20,16,15
56,Newcastle Utd_18_19,23,5,6,12,21,19,31,-12,17,13
57,Cardiff City_18_19,23,5,4,14,19,19,44,-25,18,18
58,Fulham_18_19,23,3,5,15,14,21,51,-30,19,19
59,Huddersfield_18_19,23,2,5,16,11,13,40,-27,20,20
60,Liverpool_19_20,23,22,1,0,67,54,15,39,1,1
61,Manchester City_19_20,23,15,3,5,48,64,27,37,2,2
62,Leicester City_19_20,23,14,3,6,45,48,23,25,3,5
63,Chelsea_19_20,23,12,3,8,39,39,30,9,4,4
64,Manchester Utd_19_20,23,9,7,7,34,36,27,9,5,3
65,Wolves_19_20,23,8,10,5,34,34,30,4,6,7
