,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Chelsea_16_17,27,21,3,3,66,57,20,37,1,1
1,Tottenham_16_17,27,16,8,3,56,53,20,33,2,2
2,Manchester City_16_17,27,17,5,5,56,53,29,24,3,3
3,Liverpool_16_17,27,15,7,5,52,58,34,24,4,4
4,Manchester Utd_16_17,27,14,10,3,52,42,23,19,5,6
5,Arsenal_16_17,27,15,5,7,50,56,34,22,6,5
6,Everton_16_17,27,12,8,7,44,44,30,14,7,7
7,West Brom_16_17,27,11,7,9,40,36,34,2,8,10
8,Stoke City_16_17,27,9,8,10,35,32,40,-8,9,13
9,Southampton_16_17,27,9,6,12,33,33,36,-3,10,8
10,West Ham_16_17,27,9,6,12,33,36,46,-10,11,11
11,Burnley_16_17,27,9,4,14,31,30,40,-10,12,16
12,Watford_16_17,27,8,7,12,31,33,47,-14,13,17
13,Bournemouth_16_17,27,7,6,14,27,37,52,-15,14,9
14,Leicester City_16_17,27,7,6,14,27,30,45,-15,15,12
15,Swansea City_16_17,27,8,3,16,27,35,59,-24,16,15
16,Crystal Palace_16_17,27,7,4,16,25,35,46,-11,17,14
17,Middlesbrough_16_17,27,4,10,13,22,19,30,-11,18,19
18,Hull City_16_17,27,5,6,16,21,24,53,-29,19,18
19,Sunderland_16_17,27,5,4,18,19,24,50,-26,20,20
20,Manchester City_17_18,27,23,3,1,72,79,20,59,1,1
21,Manchester Utd_17_18,27,17,5,5,56,51,19,32,2,2
22,Liverpool_17_18,27,15,9,3,54,61,31,30,3,4
23,Chelsea_17_18,27,16,5,6,53,49,23,26,4,5
24,Tottenham_17_18,27,15,7,5,52,52,24,28,5,3
25,Arsenal_17_18,27,13,6,8,45,51,36,15,6,6
26,Burnley_17_18,27,9,9,9,36,21,24,-3,7,7
27,Leicester City_17_18,27,9,8,10,35,39,40,-1,8,9
28,Everton_17_18,27,9,7,11,34,32,46,-14,9,8
29,Bournemouth_17_18,27,8,7,12,31,31,41,-10,10,12
30,Watford_17_18,27,8,6,13,30,37,47,-10,11,14
31,West Ham_17_18,27,7,9,11,30,34,46,-12,12,13
32,Newcastle Utd_17_18,27,7,7,13,28,25,36,-11,13,10
33,Brighton_17_18,27,6,10,11,28,22,36,-14,14,15
34,Crystal Palace_17_18,27,6,9,12,27,25,42,-17,15,11
35,Swansea City_17_18,27,7,6,14,27,20,37,-17,16,18
36,Huddersfield_17_18,27,7,6,14,27,23,47,-24,17,16
37,Southampton_17_18,27,5,11,11,26,28,40,-12,18,17
38,Stoke City_17_18,27,6,7,14,25,27,53,-26,19,19
39,West Brom_17_18,27,3,11,13,20,21,40,-19,20,20
40,Liverpool_18_19,27,20,6,1,66,59,15,44,1,2
41,Manchester City_18_19,27,21,2,4,65,74,20,54,2,1
42,Tottenham_18_19,27,20,0,7,60,55,27,28,3,4
43,Arsenal_18_19,27,16,5,6,53,55,37,18,4,5
