,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,36,3,5,28,14,20,74,-54,20,20
1,Sheffield Utd_20_21,36,6,2,28,20,19,62,-43,20,20
2,Norwich City_19_20,36,5,6,25,21,26,68,-42,20,20
3,Sunderland_16_17,36,6,6,24,24,28,62,-34,20,20
4,Fulham_18_19,36,7,5,24,26,34,76,-42,19,19
5,Cardiff City_18_19,36,9,4,23,31,30,66,-36,18,18
6,Aston Villa_19_20,36,8,7,21,31,39,66,-27,19,17
7,Bournemouth_19_20,36,8,7,21,31,37,62,-25,18,18
8,Swansea City_16_17,36,10,5,21,35,41,69,-28,17,15
9,Crystal Palace_16_17,36,11,5,20,38,46,61,-15,16,14
