,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,32,4,2,26,14,17,56,-39,20,20
1,Huddersfield_18_19,32,3,5,24,14,18,59,-41,20,20
2,Fulham_18_19,32,4,5,23,17,29,72,-43,19,19
3,Norwich City_19_20,32,5,6,21,21,25,60,-35,20,20
4,Sunderland_16_17,32,5,6,21,21,26,58,-32,20,20
5,Cardiff City_18_19,32,8,4,20,28,28,61,-33,18,18
6,Swansea City_16_17,32,8,4,20,28,37,67,-30,18,15
7,Aston Villa_19_20,32,7,6,19,27,36,60,-24,18,17
8,Bournemouth_19_20,32,7,6,19,27,30,54,-24,19,18
9,West Ham_19_20,32,8,6,18,30,38,56,-18,16,16
