,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,12,0,1,11,1,5,21,-16,20,20
1,Fulham_18_19,12,1,2,9,5,11,31,-20,20,19
2,Crystal Palace_17_18,12,1,2,9,5,6,24,-18,20,11
3,Norwich City_19_20,12,2,1,9,7,11,28,-17,20,20
4,Cardiff City_18_19,12,2,2,8,8,11,25,-14,18,18
5,Fulham_20_21,12,2,2,8,8,12,22,-10,18,18
6,Sunderland_16_17,12,2,2,8,8,12,21,-9,19,20
7,Crystal Palace_18_19,12,2,2,8,8,8,17,-9,16,12
8,Swansea City_17_18,12,2,2,8,8,7,15,-8,19,18
9,Hull City_16_17,12,3,1,8,10,10,27,-17,18,18
