,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,16,0,2,14,2,8,27,-19,20,20
1,Fulham_18_19,16,2,3,11,9,16,40,-24,20,19
2,Norwich City_19_20,16,3,2,11,11,17,34,-17,19,20
3,Sunderland_16_17,16,3,2,11,11,14,28,-14,20,20
4,Hull City_16_17,16,3,3,10,12,14,35,-21,19,18
5,Burnley_18_19,16,3,3,10,12,15,32,-17,17,15
6,Swansea City_16_17,16,3,3,10,12,20,34,-14,18,15
7,Crystal Palace_18_19,16,3,3,10,12,13,23,-10,16,12
8,Swansea City_17_18,16,3,3,10,12,9,18,-9,19,18
9,Cardiff City_18_19,16,4,2,10,14,15,30,-15,14,18
