,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,20,2,2,16,8,12,33,-21,20,20
1,Huddersfield_18_19,20,2,4,14,10,12,35,-23,20,20
2,West Brom_20_21,20,2,5,13,11,15,48,-33,19,19
3,Hull City_16_17,20,3,4,13,13,17,44,-27,20,18
4,Swansea City_17_18,20,3,4,13,13,11,31,-20,20,18
5,Norwich City_19_20,20,3,4,13,13,21,40,-19,20,20
6,Swansea City_16_17,20,4,3,13,15,23,45,-22,19,15
7,Burnley_18_19,20,4,3,13,15,19,41,-22,18,15
8,Sunderland_16_17,20,4,3,13,15,19,37,-18,18,20
9,Aston Villa_19_20,20,5,3,12,18,25,36,-11,18,17
