,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,18,1,2,15,5,9,29,-20,20,20
1,Fulham_18_19,18,2,4,12,10,16,42,-26,20,19
2,Huddersfield_18_19,18,2,4,12,10,11,31,-20,19,20
3,Hull City_16_17,18,3,3,12,12,14,39,-25,20,18
4,Swansea City_16_17,18,3,3,12,12,21,41,-20,19,15
5,Burnley_18_19,18,3,3,12,12,16,36,-20,18,15
6,Norwich City_19_20,18,3,3,12,12,19,37,-18,19,20
7,Swansea City_17_18,18,3,3,12,12,10,25,-15,20,18
8,Cardiff City_18_19,18,4,2,12,14,18,38,-20,17,18
9,Sunderland_16_17,18,4,2,12,14,16,31,-15,18,20
