,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,19,2,5,12,11,15,43,-28,19,19
1,Fulham_18_19,19,2,5,12,11,17,43,-26,19,19
2,Hull City_16_17,19,3,4,12,13,16,41,-25,19,18
3,Burnley_18_19,19,3,3,13,12,17,41,-24,18,15
4,Swansea City_16_17,19,3,3,13,12,21,44,-23,20,15
5,Sheffield Utd_20_21,19,1,2,16,5,10,32,-22,20,20
6,Huddersfield_18_19,19,2,4,13,10,12,34,-22,20,20
7,Watford_19_20,19,2,7,10,13,12,33,-21,19,19
8,Cardiff City_18_19,19,4,3,12,15,18,38,-20,17,18
9,Norwich City_19_20,19,3,3,13,12,19,38,-19,20,20
