,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,37,3,6,28,15,21,75,-54,20,20
1,Sheffield Utd_20_21,37,6,2,29,20,19,63,-44,20,20
2,Norwich City_19_20,37,5,6,26,21,26,70,-44,20,20
3,Fulham_18_19,37,7,5,25,26,34,77,-43,19,19
4,West Brom_20_21,37,5,11,21,26,34,73,-39,19,19
5,Cardiff City_18_19,37,9,4,24,31,32,69,-37,18,18
6,Hull City_16_17,37,9,7,21,34,36,73,-37,18,18
7,Sunderland_16_17,37,6,6,25,24,28,64,-36,20,20
8,Stoke City_17_18,37,6,12,19,30,33,67,-34,20,19
9,Huddersfield_17_18,37,9,10,18,37,28,57,-29,16,16
