,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Crystal Palace_17_18,11,1,1,9,4,4,22,-18,20,11
1,Fulham_18_19,11,1,2,8,5,11,29,-18,20,19
2,Watford_19_20,11,0,5,6,5,6,23,-17,20,19
3,Southampton_19_20,11,2,2,7,8,10,27,-17,18,11
4,Huddersfield_18_19,11,1,3,7,6,5,21,-16,18,20
5,Cardiff City_18_19,11,1,2,8,5,9,24,-15,19,18
6,West Brom_20_21,11,1,3,7,6,8,23,-15,19,19
7,Norwich City_19_20,11,2,1,8,7,11,26,-15,19,20
8,Hull City_16_17,11,3,1,7,10,10,24,-14,18,18
9,Sheffield Utd_20_21,11,0,1,10,1,5,18,-13,20,20
