,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,28,4,5,19,17,26,63,-37,19,19
1,West Brom_20_21,28,3,9,16,18,20,56,-36,19,19
2,Huddersfield_18_19,28,3,5,20,14,15,50,-35,20,20
3,Cardiff City_18_19,28,7,4,17,25,25,55,-30,18,18
4,Sheffield Utd_20_21,28,4,2,22,14,16,45,-29,20,20
5,Hull City_16_17,28,6,6,16,24,26,54,-28,18,18
6,Sunderland_16_17,28,5,5,18,20,24,50,-26,20,20
7,Norwich City_19_20,28,5,6,17,21,25,51,-26,20,20
8,Stoke City_17_18,28,6,8,14,26,28,54,-26,19,19
9,Swansea City_16_17,28,8,3,17,27,36,61,-25,17,15
