,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,36,3,5,28,14,20,74,-54,20,20
1,Sheffield Utd_20_21,36,6,2,28,20,19,62,-43,20,20
2,Norwich City_19_20,36,5,6,25,21,26,68,-42,20,20
3,Fulham_18_19,36,7,5,24,26,34,76,-42,19,19
4,West Brom_20_21,36,5,11,20,26,33,70,-37,19,19
5,Cardiff City_18_19,36,9,4,23,31,30,66,-36,18,18
6,Sunderland_16_17,36,6,6,24,24,28,62,-34,20,20
7,Stoke City_17_18,36,6,12,18,30,32,65,-33,19,19
8,Hull City_16_17,36,9,7,20,34,36,69,-33,18,18
9,Huddersfield_17_18,36,9,9,18,36,27,56,-29,16,16
