,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,12,1,2,9,5,11,31,-20,20,19
1,Crystal Palace_17_18,12,1,2,9,5,6,24,-18,20,11
2,Southampton_19_20,12,2,2,8,8,11,29,-18,19,11
3,Norwich City_19_20,12,2,1,9,7,11,28,-17,20,20
4,Hull City_16_17,12,3,1,8,10,10,27,-17,18,18
5,Sheffield Utd_20_21,12,0,1,11,1,5,21,-16,20,20
6,West Brom_20_21,12,1,3,8,6,9,25,-16,19,19
7,Huddersfield_18_19,12,1,4,7,7,6,22,-16,19,20
8,Watford_19_20,12,1,5,6,8,8,23,-15,18,19
9,Cardiff City_18_19,12,2,2,8,8,11,25,-14,18,18
