,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,24,2,7,15,13,19,55,-36,19,19
1,Huddersfield_18_19,24,2,5,17,11,13,41,-28,20,20
2,Fulham_18_19,24,4,5,15,17,25,53,-28,19,19
3,Cardiff City_18_19,24,5,4,15,19,20,46,-26,18,18
4,Sheffield Utd_20_21,24,3,2,19,11,15,40,-25,20,20
5,Hull City_16_17,24,5,5,14,20,22,47,-25,18,18
6,Swansea City_16_17,24,6,3,15,21,29,54,-25,17,15
7,Stoke City_17_18,24,6,5,13,23,25,50,-25,17,19
8,Norwich City_19_20,24,4,5,15,17,24,47,-23,20,20
9,Huddersfield_17_18,24,6,6,12,24,19,41,-22,14,16
