,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,26,3,8,15,17,20,55,-35,19,19
1,Huddersfield_18_19,26,2,5,19,11,14,48,-34,20,20
2,Fulham_18_19,26,4,5,17,17,25,58,-33,19,19
3,Sheffield Utd_20_21,26,3,2,21,11,15,43,-28,20,20
4,Hull City_16_17,26,5,6,15,21,23,50,-27,19,18
5,Huddersfield_17_18,26,6,6,14,24,19,46,-27,19,16
6,Stoke City_17_18,26,6,6,14,24,26,52,-26,18,19
7,Swansea City_16_17,26,7,3,16,24,32,57,-25,16,15
8,Norwich City_19_20,26,4,6,16,18,24,48,-24,20,20
9,Sunderland_16_17,26,5,4,17,19,24,48,-24,20,20
