,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,37,3,6,28,15,21,75,-54,20,20
1,Norwich City_19_20,37,5,6,26,21,26,70,-44,20,20
2,West Brom_20_21,37,5,11,21,26,34,73,-39,19,19
3,Fulham_20_21,37,5,13,19,28,27,51,-24,18,18
4,Middlesbrough_16_17,37,5,13,19,28,27,50,-23,19,19
5,Sheffield Utd_20_21,37,6,2,29,20,19,63,-44,20,20
6,Sunderland_16_17,37,6,6,25,24,28,64,-36,20,20
7,Stoke City_17_18,37,6,12,19,30,33,67,-34,20,19
8,West Brom_17_18,37,6,13,18,31,31,54,-23,19,20
9,Fulham_18_19,37,7,5,25,26,34,77,-43,19,19
