,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,12,0,1,11,1,5,21,-16,20,20
1,Fulham_18_19,12,1,2,9,5,11,31,-20,20,19
2,Crystal Palace_17_18,12,1,2,9,5,6,24,-18,20,11
3,West Brom_20_21,12,1,3,8,6,9,25,-16,19,19
4,Swansea City_16_17,12,1,3,8,6,11,22,-11,20,15
5,Huddersfield_18_19,12,1,4,7,7,6,22,-16,19,20
6,Watford_19_20,12,1,5,6,8,8,23,-15,18,19
7,Southampton_18_19,12,1,5,6,8,8,21,-13,17,16
8,Norwich City_19_20,12,2,1,9,7,11,28,-17,20,20
9,Southampton_19_20,12,2,2,8,8,11,29,-18,19,11
