,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,20,2,2,16,8,12,33,-21,20,20
1,Huddersfield_18_19,20,2,4,14,10,12,35,-23,20,20
2,West Brom_20_21,20,2,5,13,11,15,48,-33,19,19
3,Fulham_20_21,20,2,8,10,14,17,29,-12,18,18
4,West Brom_17_18,20,2,9,9,15,14,27,-13,19,20
5,Hull City_16_17,20,3,4,13,13,17,44,-27,20,18
6,Swansea City_17_18,20,3,4,13,13,11,31,-20,20,18
7,Norwich City_19_20,20,3,4,13,13,21,40,-19,20,20
8,Fulham_18_19,20,3,5,12,14,18,43,-25,19,19
9,Southampton_18_19,20,3,6,11,15,21,38,-17,17,16
