,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,31,3,5,23,14,18,57,-39,20,20
1,West Brom_17_18,31,3,11,17,20,24,49,-25,20,20
2,Sheffield Utd_20_21,31,4,2,25,14,17,55,-38,20,20
3,Fulham_18_19,31,4,5,22,17,29,70,-41,19,19
4,Middlesbrough_16_17,31,4,12,15,24,22,37,-15,19,19
5,Sunderland_16_17,31,5,5,21,20,24,56,-32,20,20
6,Norwich City_19_20,31,5,6,20,21,25,56,-31,20,20
7,West Brom_20_21,31,5,9,17,24,28,59,-31,19,19
8,Fulham_20_21,31,5,11,15,26,24,41,-17,18,18
9,Southampton_17_18,31,5,13,13,28,29,47,-18,18,17
