,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,16,0,2,14,2,8,27,-19,20,20
1,West Brom_20_21,16,1,5,10,8,11,35,-24,19,19
2,Watford_19_20,16,1,6,9,9,9,30,-21,20,19
3,Southampton_18_19,16,1,6,9,9,13,30,-17,19,16
4,Fulham_18_19,16,2,3,11,9,16,40,-24,20,19
5,Huddersfield_18_19,16,2,4,10,10,10,27,-17,18,20
6,Crystal Palace_17_18,16,2,5,9,11,10,27,-17,20,11
7,Fulham_20_21,16,2,6,8,12,14,24,-10,18,18
8,West Brom_17_18,16,2,7,7,13,12,22,-10,17,20
9,Brighton_20_21,16,2,7,7,13,18,25,-7,17,16
