,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,17,0,2,15,2,8,29,-21,20,20
1,West Brom_20_21,17,1,5,11,8,11,39,-28,19,19
2,Watford_19_20,17,1,6,10,9,9,32,-23,20,19
3,Fulham_18_19,17,2,3,12,9,16,42,-26,20,19
4,Huddersfield_18_19,17,2,4,11,10,10,28,-18,19,20
5,Southampton_18_19,17,2,6,9,12,16,32,-16,17,16
6,Fulham_20_21,17,2,6,9,12,14,25,-11,18,18
7,West Brom_17_18,17,2,8,7,14,12,22,-10,17,20
8,Brighton_20_21,17,2,8,7,14,21,28,-7,17,16
9,Hull City_16_17,17,3,3,11,12,14,36,-22,20,18
