,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,29,27,1,1,82,66,21,45,1,1
1,Manchester City_17_18,29,25,3,1,78,83,20,63,1,1
2,Manchester City_18_19,29,23,2,4,71,76,20,56,1,1
3,Chelsea_16_17,29,22,3,4,69,60,23,37,1,1
4,Liverpool_18_19,29,21,7,1,70,64,15,49,2,2
5,Manchester City_20_21,29,21,5,3,68,61,21,40,1,1
6,Tottenham_18_19,29,20,1,8,61,56,30,26,3,4
7,Manchester Utd_17_18,29,19,5,5,62,56,22,34,2,2
8,Manchester City_19_20,29,19,3,7,60,71,31,40,2,2
9,Tottenham_16_17,29,18,8,3,62,57,21,36,2,2
