,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,30,27,2,1,83,66,21,45,1,1
1,Manchester City_17_18,30,26,3,1,81,85,20,65,1,1
2,Manchester City_18_19,30,24,2,4,74,79,21,58,1,1
3,Chelsea_16_17,30,23,3,4,72,62,24,38,1,1
4,Liverpool_18_19,30,22,7,1,73,68,17,51,2,2
5,Manchester City_20_21,30,22,5,3,71,64,21,43,1,1
6,Manchester Utd_17_18,30,20,5,5,65,58,23,35,2,2
7,Manchester City_19_20,30,20,3,7,63,76,31,45,2,2
8,Tottenham_18_19,30,20,1,9,61,57,32,25,3,4
9,Tottenham_16_17,30,19,8,3,65,60,22,38,2,2
