,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Wolves_19_20,31,12,13,6,49,44,34,10,6,7
1,Arsenal_19_20,31,10,13,8,43,43,41,2,9,8
2,Southampton_17_18,31,5,13,13,28,29,47,-18,18,17
3,Manchester Utd_16_17,31,16,12,3,60,48,24,24,5,6
4,Brighton_20_21,31,7,12,12,33,33,38,-5,15,16
5,Brighton_19_20,31,7,12,12,33,34,41,-7,15,15
6,Middlesbrough_16_17,31,4,12,15,24,22,37,-15,19,19
7,Sheffield Utd_19_20,31,11,11,9,44,30,31,-1,8,9
8,Fulham_20_21,31,5,11,15,26,24,41,-17,18,18
9,West Brom_17_18,31,3,11,17,20,24,49,-25,20,20
