,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Wolves_19_20,30,11,13,6,46,43,34,9,6,7
1,Arsenal_19_20,30,9,13,8,40,41,41,0,10,8
2,Southampton_17_18,30,5,13,12,28,29,44,-15,17,17
3,Manchester Utd_16_17,30,15,12,3,57,46,24,22,5,6
4,Sheffield Utd_19_20,30,11,11,8,44,30,28,2,7,9
5,Brighton_20_21,30,7,11,12,32,33,38,-5,16,16
6,Brighton_19_20,30,7,11,12,32,34,41,-7,15,15
7,Fulham_20_21,30,5,11,14,26,23,38,-15,18,18
8,Middlesbrough_16_17,30,4,11,15,23,22,37,-15,19,19
9,West Brom_17_18,30,3,11,16,20,23,47,-24,20,20
