,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester Utd_16_17,33,17,13,3,64,50,24,26,5,6
1,Wolves_19_20,33,13,13,7,52,45,36,9,6,7
2,Arsenal_19_20,33,12,13,8,49,49,41,8,7,8
3,Brighton_20_21,33,7,13,13,34,33,39,-6,17,16
4,Southampton_17_18,33,5,13,15,28,33,53,-20,18,17
5,Sheffield Utd_19_20,33,12,12,9,48,34,33,1,9,9
6,Brighton_19_20,33,8,12,13,36,35,44,-9,15,15
7,Fulham_20_21,33,5,12,16,27,25,43,-18,18,18
8,Middlesbrough_16_17,33,4,12,17,24,23,43,-20,19,19
9,West Brom_17_18,33,3,12,18,21,26,52,-26,20,20
