,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Wolves_19_20,29,10,13,6,43,41,34,7,7,7
1,Arsenal_19_20,29,9,13,7,40,40,39,1,9,8
2,Southampton_17_18,29,5,13,11,28,29,41,-12,17,17
3,Manchester Utd_16_17,29,14,12,3,54,43,24,19,6,6
4,Sheffield Utd_19_20,29,11,11,7,44,30,25,5,6,9
5,Brighton_20_21,29,7,11,11,32,32,36,-4,16,16
6,Brighton_19_20,29,6,11,12,29,32,40,-8,15,15
7,Fulham_20_21,29,5,11,13,26,22,36,-14,18,18
8,Middlesbrough_16_17,29,4,11,14,23,20,33,-13,19,19
9,West Brom_17_18,29,3,11,15,20,22,43,-21,20,20
