,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester Utd_16_17,38,18,15,5,69,54,29,25,6,6
1,Southampton_17_18,38,7,15,16,36,37,56,-19,17,17
2,Wolves_19_20,38,15,14,9,59,51,40,11,7,7
3,Arsenal_19_20,38,14,14,10,56,56,48,8,8,8
4,Brighton_20_21,38,9,14,15,41,40,46,-6,16,16
5,Brighton_19_20,38,9,14,15,41,39,54,-15,15,15
6,Brighton_17_18,38,9,13,16,40,34,54,-20,15,15
7,West Brom_17_18,38,6,13,19,31,31,56,-25,20,20
8,Middlesbrough_16_17,38,5,13,20,28,27,53,-26,19,19
9,Fulham_20_21,38,5,13,20,28,27,53,-26,18,18
