,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Arsenal_19_20,25,6,13,6,31,32,34,-2,10,8
1,Wolves_19_20,25,8,11,6,35,35,32,3,8,7
2,Brighton_20_21,25,5,11,9,26,26,32,-6,16,16
3,Southampton_17_18,25,4,11,10,23,25,36,-11,18,17
4,West Brom_17_18,25,3,11,11,20,19,34,-15,20,20
5,Middlesbrough_16_17,25,4,10,11,22,19,27,-8,16,19
6,Fulham_20_21,25,4,10,11,22,21,32,-11,18,18
7,Manchester Utd_16_17,25,13,9,3,48,38,21,17,6,6
8,Sheffield Utd_19_20,25,9,9,7,36,26,23,3,6,9
9,Crystal Palace_19_20,25,7,9,9,30,22,29,-7,14,14
