,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Arsenal_19_20,23,6,11,6,29,30,32,-2,10,8
1,Wolves_19_20,23,8,10,5,34,34,30,4,6,7
2,Brighton_20_21,23,5,10,8,25,25,30,-5,16,16
3,West Brom_17_18,23,3,10,10,19,18,30,-12,19,20
4,Manchester Utd_16_17,23,11,9,3,42,33,21,12,6,6
5,Sheffield Utd_19_20,23,8,9,6,33,25,22,3,7,9
6,Crystal Palace_19_20,23,7,9,7,30,22,26,-4,9,14
7,Middlesbrough_16_17,23,4,9,10,21,19,26,-7,15,19
8,Southampton_17_18,23,4,9,10,21,23,34,-11,17,17
9,Fulham_20_21,23,3,9,11,18,19,31,-12,18,18
