,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,35,27,7,1,88,79,20,59,2,2
1,Manchester City_18_19,35,29,2,4,89,89,22,67,1,1
2,Tottenham_16_17,35,23,8,4,77,71,23,48,2,2
3,Manchester City_17_18,35,30,3,2,93,102,26,76,1,1
4,Manchester City_20_21,35,25,5,5,80,72,26,46,1,1
5,Liverpool_19_20,35,30,3,2,93,76,27,49,1,1
6,Manchester Utd_17_18,35,24,5,6,77,67,27,40,2,2
7,Manchester Utd_16_17,35,17,14,4,65,51,27,24,6,6
8,Chelsea_16_17,35,27,3,5,84,75,29,46,1,1
9,Tottenham_17_18,35,21,8,6,71,68,31,37,4,3
