,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,26,25,1,0,76,61,15,46,1,1
1,Liverpool_18_19,26,20,5,1,65,59,15,44,1,2
2,Manchester City_20_21,26,19,5,2,62,52,16,36,1,1
3,Manchester Utd_17_18,26,17,5,4,56,51,18,33,2,2
4,Tottenham_16_17,26,15,8,3,53,50,18,32,3,2
5,Manchester City_17_18,26,22,3,1,69,74,19,55,1,1
6,Chelsea_16_17,26,20,3,3,63,55,19,36,1,1
7,Manchester City_18_19,26,20,2,4,62,68,20,48,2,1
8,Manchester Utd_16_17,26,13,10,3,49,39,22,17,6,6
9,Chelsea_17_18,26,15,5,6,50,46,23,23,4,5
