,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,25,24,1,0,73,60,15,45,1,1
1,Liverpool_18_19,25,19,5,1,62,56,15,41,1,2
2,Manchester City_20_21,25,18,5,2,59,50,15,35,1,1
3,Manchester City_17_18,25,22,2,1,68,73,18,55,1,1
4,Chelsea_16_17,25,19,3,3,60,52,18,34,1,1
5,Manchester Utd_17_18,25,16,5,4,53,49,18,31,2,2
6,Tottenham_16_17,25,14,8,3,50,46,18,28,3,2
7,Chelsea_17_18,25,15,5,5,50,45,19,26,4,5
8,Manchester City_18_19,25,19,2,4,59,66,20,46,2,1
9,Manchester Utd_16_17,25,13,9,3,48,38,21,17,6,6
