,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_18_19,31,23,7,1,76,70,18,52,2,2
1,Liverpool_19_20,31,28,2,1,86,70,21,49,1,1
2,Manchester City_17_18,31,27,3,1,84,88,21,67,1,1
3,Manchester City_18_19,31,25,2,4,77,81,21,60,1,1
4,Manchester City_20_21,31,23,5,3,74,66,21,45,1,1
5,Tottenham_16_17,31,20,8,3,68,64,22,42,2,2
6,Manchester Utd_17_18,31,21,5,5,68,60,23,37,2,2
7,Manchester Utd_16_17,31,16,12,3,60,48,24,24,5,6
8,Chelsea_16_17,31,24,3,4,75,65,25,40,1,1
9,Tottenham_17_18,31,19,7,5,64,62,26,36,3,3
