Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,16,12,2,2,38,33,9,24,1
Liverpool_21_22,16,11,4,1,37,45,12,33,2
Chelsea_21_22,16,11,3,2,36,38,11,27,3
Tottenham_21_22,16,9,2,5,29,21,19,2,4
West Ham_21_22,16,8,4,4,28,28,19,9,5
Manchester Utd_21_22,16,8,3,5,27,26,24,2,6
Arsenal_21_22,16,8,2,6,26,21,22,-1,7
Leicester City_21_22,16,6,4,6,22,27,27,0,8
Wolves_21_22,16,6,3,7,21,12,14,-2,9
Brentford_21_22,16,5,5,6,20,21,22,-1,10
Brighton_21_22,16,4,8,4,20,14,17,-3,11
Crystal Palace_21_22,16,4,7,5,19,22,22,0,12
Aston Villa_21_22,16,6,1,9,19,21,25,-4,13
Everton_21_22,16,5,3,8,18,20,28,-8,14
Leeds United_21_22,16,3,7,6,16,17,25,-8,15
Southampton_21_22,16,3,7,6,16,14,24,-10,16
Watford_21_22,16,4,1,11,13,21,31,-10,17
Burnley_21_22,16,1,8,7,11,15,24,-9,18
Newcastle Utd_21_22,16,1,7,8,10,17,34,-17,19
Norwich City_21_22,16,2,4,10,10,8,32,-24,20
