Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,12,9,2,1,29,30,4,26,1
Manchester City_21_22,12,8,2,2,26,25,6,19,2
Liverpool_21_22,12,7,4,1,25,35,11,24,3
West Ham_21_22,12,7,2,3,23,23,14,9,4
Arsenal_21_22,12,6,2,4,20,13,17,-4,5
Wolves_21_22,12,6,1,5,19,12,12,0,6
Tottenham_21_22,12,6,1,5,19,11,17,-6,7
Manchester Utd_21_22,12,5,2,5,17,20,21,-1,8
Brighton_21_22,12,4,5,3,17,12,14,-2,9
Crystal Palace_21_22,12,3,7,2,16,18,17,1,10
Everton_21_22,12,4,3,5,15,16,19,-3,11
Leicester City_21_22,12,4,3,5,15,16,21,-5,12
Southampton_21_22,12,3,5,4,14,11,14,-3,13
Brentford_21_22,12,3,4,5,13,16,17,-1,14
Aston Villa_21_22,12,4,1,7,13,16,20,-4,15
Watford_21_22,12,4,1,7,13,16,20,-4,16
Leeds United_21_22,12,2,5,5,11,12,20,-8,17
Burnley_21_22,12,1,6,5,9,14,20,-6,18
Norwich City_21_22,12,2,2,8,8,7,27,-20,19
Newcastle Utd_21_22,12,0,6,6,6,15,27,-12,20
