Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,14,10,3,1,33,33,6,27,1
Manchester City_21_22,14,10,2,2,32,29,8,21,2
Liverpool_21_22,14,9,4,1,31,43,12,31,3
Tottenham_21_22,14,8,1,5,25,16,17,-1,4
West Ham_21_22,14,7,3,4,24,25,17,8,5
Arsenal_21_22,14,7,2,5,23,17,20,-3,6
Manchester Utd_21_22,14,6,3,5,21,24,24,0,7
Wolves_21_22,14,6,3,5,21,12,12,0,8
Brighton_21_22,14,4,7,3,19,13,15,-2,9
Leicester City_21_22,14,5,4,5,19,22,25,-3,10
Crystal Palace_21_22,14,3,7,4,16,19,20,-1,11
Brentford_21_22,14,4,4,6,16,17,19,-2,12
Aston Villa_21_22,14,5,1,8,16,19,23,-4,13
Everton_21_22,14,4,3,7,15,17,24,-7,14
Leeds United_21_22,14,3,6,5,15,13,20,-7,15
Southampton_21_22,14,3,6,5,15,13,20,-7,16
Watford_21_22,14,4,1,9,13,19,26,-7,17
Burnley_21_22,14,1,7,6,10,14,21,-7,18
Norwich City_21_22,14,2,4,8,10,8,28,-20,19
Newcastle Utd_21_22,14,0,7,7,7,16,30,-14,20
