Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,9,7,1,1,22,23,3,20,1
Liverpool_21_22,9,6,3,0,21,27,6,21,2
Manchester City_21_22,9,6,2,1,20,20,4,16,3
West Ham_21_22,9,5,2,2,17,16,10,6,4
Brighton_21_22,9,4,3,2,15,9,9,0,5
Tottenham_21_22,9,5,0,4,15,9,13,-4,6
Everton_21_22,9,4,2,3,14,15,14,1,7
Manchester Utd_21_22,9,4,2,3,14,16,15,1,8
Leicester City_21_22,9,4,2,3,14,15,15,0,9
Arsenal_21_22,9,4,2,3,14,10,13,-3,10
Wolves_21_22,9,4,1,4,13,9,9,0,11
Brentford_21_22,9,3,3,3,12,11,9,2,12
Aston Villa_21_22,9,3,1,5,10,13,15,-2,13
Watford_21_22,9,3,1,5,10,12,17,-5,14
Crystal Palace_21_22,9,1,6,2,9,11,14,-3,15
Southampton_21_22,9,1,5,3,8,8,12,-4,16
Leeds United_21_22,9,1,4,4,7,8,16,-8,17
Burnley_21_22,9,0,4,5,4,7,15,-8,18
Newcastle Utd_21_22,9,0,4,5,4,11,20,-9,19
Norwich City_21_22,9,0,2,7,2,2,23,-21,20
