Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,21,17,2,2,53,53,13,40,1
Liverpool_21_22,21,13,6,2,45,55,18,37,2
Chelsea_21_22,21,12,7,2,43,45,16,29,3
West Ham_21_22,21,11,4,6,37,39,27,12,4
Arsenal_21_22,21,11,3,7,36,33,25,8,5
Tottenham_21_22,21,11,3,7,36,28,27,1,6
Manchester Utd_21_22,21,10,5,6,35,35,30,5,7
Wolves_21_22,21,10,4,7,34,19,16,3,8
Brighton_21_22,21,6,11,4,29,22,22,0,9
Aston Villa_21_22,21,8,2,11,26,28,32,-4,10
Leicester City_21_22,21,7,5,9,26,34,39,-5,11
Crystal Palace_21_22,21,5,9,7,24,30,31,-1,12
Southampton_21_22,21,5,9,7,24,25,33,-8,13
Brentford_21_22,21,6,5,10,23,24,33,-9,14
Leeds United_21_22,21,5,7,9,22,24,40,-16,15
Everton_21_22,21,5,4,12,19,25,38,-13,16
Watford_21_22,21,4,3,14,15,23,40,-17,17
Newcastle Utd_21_22,21,2,9,10,15,21,43,-22,18
Burnley_21_22,21,1,11,9,14,17,29,-12,19
Norwich City_21_22,21,3,4,14,13,10,45,-35,20
