Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,10,8,1,1,25,26,3,23,1
Liverpool_21_22,10,6,4,0,22,29,8,21,2
Manchester City_21_22,10,6,2,2,20,20,6,14,3
West Ham_21_22,10,6,2,2,20,20,11,9,4
Manchester Utd_21_22,10,5,2,3,17,19,15,4,5
Arsenal_21_22,10,5,2,3,17,12,13,-1,6
Wolves_21_22,10,5,1,4,16,11,10,1,7
Brighton_21_22,10,4,4,2,16,11,11,0,8
Tottenham_21_22,10,5,0,5,15,9,16,-7,9
Everton_21_22,10,4,2,4,14,16,16,0,10
Leicester City_21_22,10,4,2,4,14,15,17,-2,11
Brentford_21_22,10,3,3,4,12,12,12,0,12
Crystal Palace_21_22,10,2,6,2,12,13,14,-1,13
Southampton_21_22,10,2,5,3,11,9,12,-3,14
Aston Villa_21_22,10,3,1,6,10,14,19,-5,15
Watford_21_22,10,3,1,6,10,12,18,-6,16
Leeds United_21_22,10,2,4,4,10,10,17,-7,17
Burnley_21_22,10,1,4,5,7,10,16,-6,18
Newcastle Utd_21_22,10,0,4,6,4,11,23,-12,19
Norwich City_21_22,10,0,2,8,2,3,25,-22,20
