Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,11,8,2,1,26,27,4,23,1
Manchester City_21_22,11,7,2,2,23,22,6,16,2
West Ham_21_22,11,7,2,2,23,23,13,10,3
Liverpool_21_22,11,6,4,1,22,31,11,20,4
Arsenal_21_22,11,6,2,3,20,13,13,0,5
Manchester Utd_21_22,11,5,2,4,17,19,17,2,6
Brighton_21_22,11,4,5,2,17,12,12,0,7
Wolves_21_22,11,5,1,5,16,11,12,-1,8
Tottenham_21_22,11,5,1,5,16,9,16,-7,9
Crystal Palace_21_22,11,3,6,2,15,15,14,1,10
Everton_21_22,11,4,3,4,15,16,16,0,11
Leicester City_21_22,11,4,3,4,15,16,18,-2,12
Southampton_21_22,11,3,5,3,14,10,12,-2,13
Brentford_21_22,11,3,3,5,12,13,14,-1,14
Leeds United_21_22,11,2,5,4,11,11,18,-7,15
Aston Villa_21_22,11,3,1,7,10,14,20,-6,16
Watford_21_22,11,3,1,7,10,12,19,-7,17
Burnley_21_22,11,1,5,5,8,11,17,-6,18
Newcastle Utd_21_22,11,0,5,6,5,12,24,-12,19
Norwich City_21_22,11,1,2,8,5,5,26,-21,20
