Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,29,22,4,3,70,68,18,50,1
Liverpool_21_22,29,21,6,2,69,75,20,55,2
Chelsea_21_22,29,17,8,4,59,58,23,35,3
Arsenal_21_22,29,17,3,9,54,44,34,10,4
Tottenham_21_22,29,16,3,10,51,47,36,11,5
Manchester Utd_21_22,29,14,8,7,50,48,40,8,6
West Ham_21_22,29,14,6,9,48,48,36,12,7
Wolves_21_22,29,14,4,11,46,29,23,6,8
Leicester City_21_22,29,11,7,11,40,45,48,-3,9
Aston Villa_21_22,29,11,3,15,36,41,40,1,10
Southampton_21_22,29,8,11,10,35,36,45,-9,11
Crystal Palace_21_22,29,7,13,9,34,39,38,1,12
Brighton_21_22,29,7,12,10,33,26,36,-10,13
Newcastle Utd_21_22,29,7,10,12,31,32,49,-17,14
Brentford_21_22,29,8,6,15,30,32,45,-13,15
Leeds United_21_22,29,6,8,15,26,31,65,-34,16
Everton_21_22,29,7,4,18,25,32,52,-20,17
Burnley_21_22,29,4,12,13,24,25,42,-17,18
Watford_21_22,29,6,4,19,22,29,55,-26,19
Norwich City_21_22,29,4,5,20,17,18,63,-45,20
