Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,7,5,1,1,16,15,3,12,1
Liverpool_21_22,7,4,3,0,15,17,6,11,2
Manchester City_21_22,7,4,2,1,14,14,3,11,3
Manchester Utd_21_22,7,4,2,1,14,14,6,8,4
Everton_21_22,7,4,2,1,14,13,8,5,5
Brighton_21_22,7,4,2,1,14,8,5,3,6
Brentford_21_22,7,3,3,1,12,10,6,4,7
Tottenham_21_22,7,4,0,3,12,6,10,-4,8
West Ham_21_22,7,3,2,2,11,14,10,4,9
Aston Villa_21_22,7,3,1,3,10,10,9,1,10
Arsenal_21_22,7,3,1,3,10,5,10,-5,11
Wolves_21_22,7,3,0,4,9,5,6,-1,12
Leicester City_21_22,7,2,2,3,8,9,12,-3,13
Crystal Palace_21_22,7,1,4,2,7,8,11,-3,14
Watford_21_22,7,2,1,4,7,7,10,-3,15
Leeds United_21_22,7,1,3,3,6,7,14,-7,16
Southampton_21_22,7,0,4,3,4,5,10,-5,17
Burnley_21_22,7,0,3,4,3,5,11,-6,18
Newcastle Utd_21_22,7,0,3,4,3,8,16,-8,19
Norwich City_21_22,7,0,1,6,1,2,16,-14,20
