Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,20,16,2,2,50,51,12,39,1
Liverpool_21_22,20,12,6,2,42,52,18,34,2
Chelsea_21_22,20,12,6,2,42,43,14,29,3
Tottenham_21_22,20,11,3,6,36,26,24,2,4
Arsenal_21_22,20,11,2,7,35,33,25,8,5
West Ham_21_22,20,10,4,6,34,37,27,10,6
Manchester Utd_21_22,20,9,5,6,32,32,29,3,7
Wolves_21_22,20,9,4,7,31,17,15,2,8
Brighton_21_22,20,6,10,4,28,21,21,0,9
Leicester City_21_22,20,7,5,8,26,34,37,-3,10
Southampton_21_22,20,5,9,6,24,24,30,-6,11
Crystal Palace_21_22,20,5,8,7,23,29,30,-1,12
Aston Villa_21_22,20,7,2,11,23,27,32,-5,13
Brentford_21_22,20,6,5,9,23,24,30,-6,14
Leeds United_21_22,20,5,7,8,22,24,39,-15,15
Everton_21_22,20,5,4,11,19,24,35,-11,16
Burnley_21_22,20,1,11,8,14,17,28,-11,17
Watford_21_22,20,4,2,14,14,23,40,-17,18
Newcastle Utd_21_22,20,1,9,10,12,20,43,-23,19
Norwich City_21_22,20,2,4,14,10,8,44,-36,20
