Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,19,15,2,2,47,50,12,38,1
Liverpool_21_22,19,12,5,2,41,50,16,34,2
Chelsea_21_22,19,12,5,2,41,42,13,29,3
Tottenham_21_22,19,11,3,5,36,26,22,4,4
Arsenal_21_22,19,11,2,6,35,32,23,9,5
West Ham_21_22,19,9,4,6,31,34,25,9,6
Manchester Utd_21_22,19,9,4,6,31,30,27,3,7
Wolves_21_22,19,8,4,7,28,14,14,0,8
Brighton_21_22,19,6,9,4,27,20,20,0,9
Leicester City_21_22,19,7,4,8,25,33,36,-3,10
Crystal Palace_21_22,19,5,8,6,23,27,27,0,11
Brentford_21_22,19,6,5,8,23,23,26,-3,12
Aston Villa_21_22,19,7,1,11,22,25,30,-5,13
Southampton_21_22,19,4,9,6,21,20,29,-9,14
Everton_21_22,19,5,4,10,19,24,34,-10,15
Leeds United_21_22,19,4,7,8,19,21,37,-16,16
Watford_21_22,19,4,2,13,14,23,37,-14,17
Burnley_21_22,19,1,10,8,13,16,27,-11,18
Newcastle Utd_21_22,19,1,8,10,11,19,42,-23,19
Norwich City_21_22,19,2,4,13,10,8,42,-34,20
