Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,8,6,1,1,19,16,3,13,1
Liverpool_21_22,8,5,3,0,18,22,6,16,2
Manchester City_21_22,8,5,2,1,17,16,3,13,3
Brighton_21_22,8,4,3,1,15,8,5,3,4
Tottenham_21_22,8,5,0,3,15,9,12,-3,5
Manchester Utd_21_22,8,4,2,2,14,16,10,6,6
West Ham_21_22,8,4,2,2,14,15,10,5,7
Everton_21_22,8,4,2,2,14,13,9,4,8
Brentford_21_22,8,3,3,2,12,10,7,3,9
Wolves_21_22,8,4,0,4,12,8,8,0,10
Leicester City_21_22,8,3,2,3,11,13,14,-1,11
Arsenal_21_22,8,3,2,3,11,7,12,-5,12
Aston Villa_21_22,8,3,1,4,10,12,12,0,13
Crystal Palace_21_22,8,1,5,2,8,10,13,-3,14
Southampton_21_22,8,1,4,3,7,6,10,-4,15
Watford_21_22,8,2,1,5,7,7,15,-8,16
Leeds United_21_22,8,1,3,4,6,7,15,-8,17
Burnley_21_22,8,0,3,5,3,5,13,-8,18
Newcastle Utd_21_22,8,0,3,5,3,10,19,-9,19
Norwich City_21_22,8,0,2,6,2,2,16,-14,20
