Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,13,9,3,1,30,31,5,26,1
Manchester City_21_22,13,9,2,2,29,27,7,20,2
Liverpool_21_22,13,8,4,1,28,39,11,28,3
West Ham_21_22,13,7,2,4,23,24,16,8,4
Arsenal_21_22,13,7,2,4,23,15,17,-2,5
Tottenham_21_22,13,7,1,5,22,13,17,-4,6
Wolves_21_22,13,6,2,5,20,12,12,0,7
Manchester Utd_21_22,13,5,3,5,18,21,22,-1,8
Brighton_21_22,13,4,6,3,18,12,14,-2,9
Leicester City_21_22,13,5,3,5,18,20,23,-3,10
Brentford_21_22,13,4,4,5,16,17,17,0,11
Crystal Palace_21_22,13,3,7,3,16,19,19,0,12
Aston Villa_21_22,13,5,1,7,16,18,21,-3,13
Everton_21_22,13,4,3,6,15,16,20,-4,14
Southampton_21_22,13,3,5,5,14,11,18,-7,15
Watford_21_22,13,4,1,8,13,18,24,-6,16
Leeds United_21_22,13,2,6,5,12,12,20,-8,17
Burnley_21_22,13,1,7,5,10,14,20,-6,18
Norwich City_21_22,13,2,3,8,9,7,27,-20,19
Newcastle Utd_21_22,13,0,6,7,6,15,29,-14,20
