Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,18,14,2,2,44,44,9,35,1
Liverpool_21_22,18,12,5,1,41,50,15,35,2
Chelsea_21_22,18,11,5,2,38,39,12,27,3
Tottenham_21_22,18,10,3,5,33,23,20,3,4
Arsenal_21_22,18,10,2,6,32,27,23,4,5
Manchester Utd_21_22,18,9,4,5,31,30,26,4,6
West Ham_21_22,18,8,4,6,28,30,24,6,7
Wolves_21_22,18,7,4,7,25,13,14,-1,8
Leicester City_21_22,18,7,4,7,25,31,33,-2,9
Brighton_21_22,18,5,9,4,24,17,18,-1,10
Aston Villa_21_22,18,7,1,10,22,24,28,-4,11
Crystal Palace_21_22,18,4,8,6,20,24,27,-3,12
Brentford_21_22,18,5,5,8,20,21,25,-4,13
Southampton_21_22,18,4,8,6,20,19,28,-9,14
Everton_21_22,18,5,4,9,19,23,32,-9,15
Leeds United_21_22,18,3,7,8,16,18,36,-18,16
Watford_21_22,18,4,1,13,13,22,36,-14,17
Burnley_21_22,18,1,9,8,12,16,27,-11,18
Newcastle Utd_21_22,18,1,7,10,10,18,41,-23,19
Norwich City_21_22,18,2,4,12,10,8,39,-31,20
