Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,26,20,3,3,63,63,17,46,1
Liverpool_21_22,26,18,6,2,60,70,20,50,2
Chelsea_21_22,26,15,8,3,53,53,18,35,3
Arsenal_21_22,26,16,3,7,51,43,29,14,4
Manchester Utd_21_22,26,13,7,6,46,44,34,10,5
Tottenham_21_22,26,14,3,9,45,40,32,8,6
West Ham_21_22,26,12,6,8,42,45,34,11,7
Wolves_21_22,26,12,4,10,40,24,21,3,8
Southampton_21_22,26,8,11,7,35,34,37,-3,9
Aston Villa_21_22,26,10,3,13,33,37,37,0,10
Brighton_21_22,26,7,12,7,33,25,30,-5,11
Leicester City_21_22,26,9,6,11,33,40,45,-5,12
Crystal Palace_21_22,26,6,11,9,29,36,37,-1,13
Newcastle Utd_21_22,26,6,10,10,28,30,46,-16,14
Brentford_21_22,26,6,6,14,24,27,42,-15,15
Leeds United_21_22,26,5,8,13,23,29,60,-31,16
Everton_21_22,26,6,4,16,22,28,47,-19,17
Burnley_21_22,26,3,12,11,21,22,36,-14,18
Watford_21_22,26,5,4,17,19,25,47,-22,19
Norwich City_21_22,26,4,5,17,17,15,55,-40,20
