Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,28,22,3,3,69,68,18,50,1
Liverpool_21_22,28,20,6,2,66,73,20,53,2
Chelsea_21_22,28,17,8,3,59,57,19,38,3
Arsenal_21_22,28,17,3,8,54,44,31,13,4
Tottenham_21_22,28,15,3,10,48,44,35,9,5
Manchester Utd_21_22,28,13,8,7,47,45,38,7,6
West Ham_21_22,28,13,6,9,45,46,35,11,7
Wolves_21_22,28,13,4,11,43,28,23,5,8
Leicester City_21_22,28,10,7,11,37,43,47,-4,9
Aston Villa_21_22,28,11,3,14,36,41,39,2,10
Southampton_21_22,28,8,11,9,35,35,43,-8,11
Crystal Palace_21_22,28,7,12,9,33,39,38,1,12
Brighton_21_22,28,7,12,9,33,26,34,-8,13
Newcastle Utd_21_22,28,7,10,11,31,32,48,-16,14
Brentford_21_22,28,7,6,15,27,30,45,-15,15
Everton_21_22,28,7,4,17,25,30,49,-19,16
Leeds United_21_22,28,5,8,15,23,29,64,-35,17
Burnley_21_22,28,3,12,13,21,22,40,-18,18
Watford_21_22,28,5,4,19,19,27,54,-27,19
Norwich City_21_22,28,4,5,19,17,17,61,-44,20
