Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,23,18,3,2,57,55,14,41,1
Liverpool_21_22,23,15,6,2,51,60,19,41,2
Chelsea_21_22,23,12,8,3,44,46,18,28,3
Arsenal_21_22,23,13,3,7,42,36,26,10,4
Manchester Utd_21_22,23,11,6,6,39,37,31,6,5
Tottenham_21_22,23,12,3,8,39,31,31,0,6
West Ham_21_22,23,11,4,8,37,41,31,10,7
Wolves_21_22,23,11,4,8,37,21,17,4,8
Brighton_21_22,23,7,12,4,33,25,23,2,9
Southampton_21_22,23,6,10,7,28,29,36,-7,10
Aston Villa_21_22,23,8,3,12,27,31,36,-5,11
Leicester City_21_22,23,7,6,10,27,37,43,-6,12
Crystal Palace_21_22,23,5,10,8,25,32,35,-3,13
Brentford_21_22,23,6,5,12,23,26,38,-12,14
Leeds United_21_22,23,5,8,10,23,27,46,-19,15
Everton_21_22,23,6,4,13,22,28,40,-12,16
Newcastle Utd_21_22,23,4,9,10,21,25,44,-19,17
Burnley_21_22,23,3,11,9,20,21,29,-8,18
Norwich City_21_22,23,4,5,14,17,14,46,-32,19
Watford_21_22,23,4,3,16,15,23,43,-20,20
