Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,24,19,3,2,60,57,14,43,1
Liverpool_21_22,24,16,6,2,54,61,19,42,2
Chelsea_21_22,24,13,8,3,47,48,18,30,3
Arsenal_21_22,24,14,3,7,45,38,27,11,4
West Ham_21_22,24,12,4,8,40,42,31,11,5
Manchester Utd_21_22,24,11,7,6,40,38,32,6,6
Wolves_21_22,24,12,4,8,40,23,18,5,7
Tottenham_21_22,24,12,3,9,39,31,32,-1,8
Brighton_21_22,24,7,12,5,33,25,25,0,9
Leicester City_21_22,24,8,6,10,30,39,43,-4,10
Southampton_21_22,24,6,11,7,29,30,37,-7,11
Aston Villa_21_22,24,8,3,13,27,31,37,-6,12
Crystal Palace_21_22,24,5,11,8,26,32,35,-3,13
Brentford_21_22,24,6,5,13,23,26,40,-14,14
Leeds United_21_22,24,5,8,11,23,29,50,-21,15
Everton_21_22,24,6,4,14,22,28,41,-13,16
Newcastle Utd_21_22,24,4,10,10,22,26,45,-19,17
Burnley_21_22,24,3,12,9,21,22,30,-8,18
Watford_21_22,24,5,3,16,18,24,43,-19,19
Norwich City_21_22,24,4,5,15,17,14,50,-36,20
