Team,MP,W,D,L,Pts,GF,GA,GD,rank
Chelsea_21_22,2,2,0,0,6,5,0,5,1
Liverpool_21_22,2,2,0,0,6,5,0,5,2
West Ham_21_22,2,2,0,0,6,8,3,5,3
Brighton_21_22,2,2,0,0,6,4,1,3,4
Tottenham_21_22,2,2,0,0,6,2,0,2,5
Manchester Utd_21_22,2,1,1,0,4,6,2,4,6
Brentford_21_22,2,1,1,0,4,2,0,2,7
Everton_21_22,2,1,1,0,4,5,3,2,8
Manchester City_21_22,2,1,0,1,3,5,1,4,9
Aston Villa_21_22,2,1,0,1,3,4,3,1,10
Watford_21_22,2,1,0,1,3,3,4,-1,11
Leicester City_21_22,2,1,0,1,3,2,4,-2,12
Southampton_21_22,2,0,1,1,1,2,4,-2,13
Crystal Palace_21_22,2,0,1,1,1,0,3,-3,14
Leeds United_21_22,2,0,1,1,1,3,7,-4,15
Wolves_21_22,2,0,0,2,0,0,2,-2,16
Burnley_21_22,2,0,0,2,0,1,4,-3,17
Arsenal_21_22,2,0,0,2,0,0,4,-4,18
Newcastle Utd_21_22,2,0,0,2,0,2,6,-4,19
Norwich City_21_22,2,0,0,2,0,0,8,-8,20
