Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,22,18,2,2,56,54,13,41,1
Liverpool_21_22,22,14,6,2,48,58,19,39,2
Chelsea_21_22,22,12,7,3,43,45,17,28,3
Arsenal_21_22,22,12,3,7,39,34,25,9,4
Manchester Utd_21_22,22,11,5,6,38,36,30,6,5
West Ham_21_22,22,11,4,7,37,41,30,11,6
Tottenham_21_22,22,11,3,8,36,28,29,-1,7
Wolves_21_22,22,10,4,8,34,19,17,2,8
Brighton_21_22,22,6,12,4,30,23,23,0,9
Aston Villa_21_22,22,8,3,11,27,31,35,-4,10
Leicester City_21_22,22,7,6,9,27,36,41,-5,11
Southampton_21_22,22,5,10,7,25,26,34,-8,12
Crystal Palace_21_22,22,5,9,8,24,31,34,-3,13
Brentford_21_22,22,6,5,11,23,25,36,-11,14
Leeds United_21_22,22,5,8,9,23,27,43,-16,15
Everton_21_22,22,6,4,12,22,28,38,-10,16
Newcastle Utd_21_22,22,3,9,10,18,24,44,-20,17
Burnley_21_22,22,2,11,9,17,20,29,-9,18
Norwich City_21_22,22,4,4,14,16,13,45,-32,19
Watford_21_22,22,4,3,15,15,23,41,-18,20
